Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1319751,00000200,false,Rx,0,3,52,05,00,00,00,00,00,00,
1425027,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
1425891,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
1519758,00000200,false,Rx,0,3,D2,36,00,00,00,00,00,00,
1625041,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
1625905,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
1719750,00000200,false,Rx,0,3,52,59,00,00,00,00,00,00,
1825060,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
1825924,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
1919782,00000200,false,Rx,0,3,D2,6D,00,00,00,00,00,00,
2025075,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
2025939,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
2119792,00000200,false,Rx,0,3,52,9C,00,00,00,00,00,00,
2225083,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
2225946,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
2319806,00000200,false,Rx,0,3,D2,AF,00,00,00,00,00,00,
2425093,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
2425964,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
2519838,00000200,false,Rx,0,3,52,C0,00,00,00,00,00,00,
2625106,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
2625977,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
2719842,00000200,false,Rx,0,3,D2,F3,00,00,00,00,00,00,
2825120,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
2825991,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
